velocidad_bala,distancia,bala_y,accion
-11.0,959.0,77.0,0
-11.0,948.0,77.0,0
-11.0,937.0,77.0,0
-11.0,926.0,77.0,0
-11.0,915.0,77.0,0
-11.0,904.0,77.0,0
-11.0,893.0,77.0,0
-11.0,882.0,77.0,0
-11.0,871.0,77.0,0
-11.0,860.0,77.0,0
-11.0,849.0,77.0,0
-11.0,838.0,77.0,0
-11.0,827.0,77.0,0
-11.0,816.0,77.0,0
-11.0,805.0,77.0,0
-11.0,794.0,77.0,0
-11.0,783.0,77.0,0
-11.0,772.0,77.0,0
-11.0,761.0,77.0,0
-11.0,750.0,77.0,0
-11.0,739.0,77.0,0
-11.0,728.0,77.0,0
-11.0,717.0,77.0,0
-11.0,706.0,77.0,0
-11.0,695.0,77.0,0
-11.0,684.0,77.0,0
-11.0,673.0,77.0,0
-11.0,662.0,77.0,0
-11.0,651.0,77.0,0
-11.0,640.0,77.0,0
-11.0,629.0,77.0,0
-11.0,618.0,77.0,0
-11.0,607.0,77.0,0
-11.0,596.0,77.0,0
-11.0,585.0,77.0,0
-11.0,574.0,77.0,0
-11.0,563.0,77.0,0
-11.0,552.0,77.0,0
-11.0,541.0,77.0,0
-11.0,530.0,77.0,0
-11.0,519.0,77.0,0
-11.0,508.0,77.0,0
-11.0,497.0,77.0,0
-11.0,486.0,77.0,0
-11.0,475.0,77.0,0
-11.0,464.0,77.0,0
-11.0,453.0,77.0,0
-11.0,442.0,77.0,0
-11.0,431.0,77.0,0
-11.0,420.0,77.0,0
-11.0,409.0,77.0,0
-11.0,398.0,77.0,0
-11.0,387.0,77.0,0
-11.0,376.0,77.0,0
-11.0,365.0,77.0,0
-11.0,354.0,77.0,0
-11.0,343.0,77.0,0
-11.0,332.0,77.0,0
-11.0,321.0,77.0,0
-11.0,310.0,77.0,0
-11.0,299.0,77.0,0
-11.0,288.0,77.0,0
-11.0,277.0,77.0,0
-11.0,266.0,77.0,0
-11.0,255.0,77.0,0
-11.0,244.0,77.0,0
-11.0,233.0,77.0,0
-11.0,222.0,77.0,0
-11.0,211.0,77.0,0
-11.0,200.0,77.0,0
-11.0,189.0,77.0,0
-11.0,178.0,77.0,0
-11.0,167.0,77.0,0
-11.0,156.0,77.0,0
-11.0,145.0,77.0,0
-11.0,134.0,77.0,0
-11.0,123.0,77.0,0
-11.0,112.0,77.0,0
-11.0,101.0,77.0,0
-11.0,90.0,77.0,0
-11.0,79.0,77.0,0
-11.0,68.0,77.0,0
-11.0,57.0,77.0,0
-11.0,46.0,77.0,0
-11.0,35.0,77.0,0
-11.0,24.0,77.0,0
-11.0,13.0,77.0,0
-11.0,2.0,77.0,0
-11.0,9.0,77.0,0
-11.0,20.0,77.0,0
-11.0,31.0,77.0,0
-11.0,42.0,77.0,0
-11.0,53.0,77.0,0
-11.0,64.0,77.0,0
-6.0,964.0,77.0,0
-6.0,958.0,77.0,0
-6.0,952.0,77.0,0
-6.0,946.0,77.0,0
-6.0,940.0,77.0,0
-6.0,934.0,77.0,0
-6.0,928.0,77.0,0
-6.0,922.0,77.0,0
-6.0,916.0,77.0,0
-6.0,910.0,77.0,0
-6.0,904.0,77.0,0
-6.0,898.0,77.0,0
-6.0,892.0,77.0,0
-6.0,886.0,77.0,0
-6.0,880.0,77.0,0
-6.0,874.0,77.0,0
-6.0,868.0,77.0,0
-6.0,862.0,77.0,0
-6.0,856.0,77.0,0
-6.0,850.0,77.0,0
-6.0,844.0,77.0,0
-6.0,838.0,77.0,0
-6.0,832.0,77.0,0
-6.0,826.0,77.0,0
-6.0,820.0,77.0,0
-6.0,814.0,77.0,0
-6.0,808.0,77.0,0
-6.0,802.0,77.0,0
-6.0,796.0,77.0,0
-6.0,790.0,77.0,0
-6.0,784.0,77.0,0
-6.0,778.0,77.0,0
-6.0,772.0,77.0,0
-6.0,766.0,77.0,0
-6.0,760.0,77.0,0
-6.0,754.0,77.0,0
-6.0,748.0,77.0,0
-6.0,742.0,77.0,0
-6.0,736.0,77.0,0
-6.0,730.0,77.0,0
-6.0,724.0,77.0,0
-6.0,718.0,77.0,0
-6.0,712.0,77.0,0
-6.0,706.0,77.0,0
-6.0,700.0,77.0,0
-6.0,694.0,77.0,0
-6.0,688.0,77.0,0
-6.0,682.0,77.0,0
-6.0,676.0,77.0,0
-6.0,670.0,77.0,0
-6.0,664.0,77.0,0
-6.0,658.0,77.0,0
-6.0,652.0,77.0,0
-6.0,646.0,77.0,0
-6.0,640.0,77.0,0
-6.0,634.0,77.0,0
-6.0,628.0,77.0,0
-6.0,622.0,77.0,0
-6.0,616.0,77.0,0
-6.0,610.0,77.0,0
-6.0,604.0,77.0,0
-6.0,598.0,77.0,0
-6.0,592.0,77.0,0
-6.0,586.0,77.0,0
-6.0,580.0,77.0,0
-6.0,574.0,77.0,0
-6.0,568.0,77.0,0
-6.0,562.0,77.0,0
-6.0,556.0,77.0,0
-6.0,550.0,77.0,0
-6.0,544.0,77.0,0
-6.0,538.0,77.0,0
